city,category,question,correct_answer,wrong_1,wrong_2,wrong_3,wrong_4
New York,Geography,Which river runs through New York?,Hudson,Seine,Danube,Yarra,Thames
New York,Geography,Which state borders New York to the west?,New Jersey,Delaware,Ohio,Connecticut,Vermont
New York,Geography,Which ocean is New York adjacent to?,Atlantic,Arctic,Southern,Pacific,Indian
New York,Geography,Which island is a borough of New York?,Staten Island,Manhattan,Ellis Island,Long Island,Governors Island
New York,Geography,Which region is New York part of?,Northeast,Pacific Northwest,Southwest,Midwest,Southeast
New York,Geography,Which city is north of New York?,Albany,Boston,Baltimore,Philadelphia,Washington D.C.
New York,Geography,Which borough is in New York?,Brooklyn,Jersey City,Newark,Bronx,Camden
New York,Geography,What river separates New York from New Jersey?,Hudson,East,St. Lawrence,Delaware,Mississippi
New York,Geography,Which estuary surrounds New York?,New York Harbor,Puget Sound,Narragansett Bay,San Francisco Bay,Chesapeake Bay
New York,Geography,Which strait connects the harbor to the Atlantic near New York?,The Narrows,Golden Gate,Strait of Gibraltar,Cook Strait,Bosporus
New York,History,Which event occurred in New York?,9/11 Attacks,End SARS,Meiji Restoration,Independence of Brazil,Storming of the Bastille
New York,History,Which group of Europeans first colonized New York?,Dutch,British,Spanish,French,Portuguese
New York,History,Who was the first US President inaugurated in New York?,George Washington,John Adams,Thomas Jefferson,Abraham Lincoln,James Madison
New York,History,Which major power formerly controlled New York before the British?,Dutch,Spanish,Portuguese,Danish,French
New York,History,Which rebellion happened in New York in 1741?,Slave Conspiracy,Harper's Ferry,Nat Turner Rebellion,Boston Tea Party,Whiskey Rebellion
New York,History,What was the city's original Dutch name?,New Amsterdam,Nieuw Haarlem,Nieuw Utrecht,Nieuw Rotterdam,Fort Nassau
New York,History,Which financial crash began in New York?,1929 Wall Street Crash,1997 Asian Crisis,Tulip Mania,2008 Housing Crash,Dot-com Bubble
New York,History,Which abolitionist gave a famous speech in New York?,Frederick Douglass,Susan B. Anthony,Harriet Tubman,John Brown,Booker T. Washington
New York,History,Which major blackout hit New York in 2003?,Northeast Blackout,Chicago Outage,Great London Blackout,California Rolling Blackouts,Texas Freeze
